Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5							
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8		484982	638352	436584	439179	661306	437292
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1		2.47019e+06	2.73608e+06	2.42253e+06	2.39147e+06	2.53611e+06	2.86348e+06
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10		1.42854e+06	1.33512e+06	1.38551e+06	1.38839e+06	1.38052e+06	1.33532e+06
A4D1P6	A4D1P6;A0A804HHS8;A0A804HI90;A0A804HKV2;C9J1X0	WDR91_HUMAN	WDR91		717381	615628	736049	814348	664184	681194
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11		1.25258e+06	1.33764e+06	1.09838e+06	1.47908e+06	1.14443e+06	1.33115e+06
A4UGR9	A4UGR9;A0A5F9ZH43	XIRP2_HUMAN	XIRP2							
A5A3E0	P60709;P63261;Q6S8J3;Q9BYX7;A5A3E0;P0CG38;P0CG39;A0A2R8YFE2;A0A6Q8PFE4;A0A804GS07;I3L4N8	POTEF_HUMAN	POTEF		1.79267e+08	1.96425e+08	1.90453e+08	1.3355e+08	1.94543e+08	1.60935e+08
A5A3E0;P60010;P63267;P68133	P60709;P62736;P63261;P63267;P68032;P68133;Q6S8J3;A5A3E0;P0CG38;A0A2R8Y793;A0A2R8YGF8;A0A6Q8PH58;A0A804GS07;A6NL76;B8ZZJ2;C9JFL5;C9JTX5;C9JUM1;C9JZR7;E7EVS6;F6QUT6;F6UVQ4;F8WB63;F8WCH0;G5E9R0;I3L1U9;I3L3I0;I3L3R2;I3L4N8;J3KT65;K7EM38;P60010	ACTH_HUMAN;ACTS_HUMAN;ACT_YEAST;POTEF_HUMAN	ACT1;ACTA1;ACTG2;POTEF		1.76824e+09	1.52008e+09	1.53634e+09	1.90946e+09	1.47363e+09	1.64218e+09
A5A3E0;P60010;P63267;P68133;Q562R1	P60709;P62736;P63261;P63267;P68032;P68133;Q6S8J3;Q9BYX7;A5A3E0;Q562R1;A0A2R8Y793;A0A2R8YEA7;A0A6Q8PFE4;A0A804GS07;A0A804HKV3;A6NL76;E7EVS6;I3L4N8;P60010	ACTBL_HUMAN;ACTH_HUMAN;ACTS_HUMAN;ACT_YEAST;POTEF_HUMAN	ACT1;ACTA1;ACTBL2;ACTG2;POTEF		1.86942e+09	1.31906e+09	1.75421e+09	1.67816e+09	1.77536e+09	1.3347e+09
A5A3E0;P60010;P68133	P60709;P63261;P68032;P68133;Q6S8J3;Q9BYX7;A5A3E0;P0CG38;P0CG39;A0A2R8Y793;A0A2R8YGF8;A0A6Q8PFE4;A0A6Q8PH58;A0A804GS07;A0A804HKV3;A6NL76;C9JUM1;C9JZR7;E7EVS6;G5E9R0;I3L1U9;I3L3I0;I3L3R2;I3L4N8;J3KT65;K7EM38;P60010	ACTS_HUMAN;ACT_YEAST;POTEF_HUMAN	ACT1;ACTA1;POTEF		2.4304e+07	1.21337e+07	3.43223e+07	1.35242e+07	2.77657e+07	2.38805e+07
A5A614	A5A614	YCIZ_ECOLI	yciZ							
A5D8V6	A5D8V6;F5H4Q5	VP37C_HUMAN	VPS37C		1.06892e+06	1.37658e+06	1.41944e+06	1.14653e+06	995784	1.2874e+06
A5YKK6	A5YKK6;H3BMZ2	CNOT1_HUMAN	CNOT1		4.63375e+06	4.8608e+06	4.75959e+06	4.32103e+06	4.64982e+06	4.72655e+06
A5Z2X5	A5Z2X5	YP010_YEAST	YPR010C-A		1.43494e+06	534048	987857	163435	595391	1.52663e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;H3BTL1	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2		1.00311e+07	1.02747e+07	9.81778e+06	9.70334e+06	9.15977e+06	1.02984e+07
A6NDG6	A6NDG6;H3BV17	PGP_HUMAN	PGP		1.0411e+07	1.15351e+07	1.19938e+07	1.11112e+07	1.22469e+07	1.19113e+07
A6NDR6;Q99687	Q99687;A6NDR6;A8K0S8;H0YMV2;H0YNA8;H3BLU4;H0YLL0	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1				355377			
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1		2.81693e+06	2.85505e+06	3.36799e+06	1.41377e+06	3.28766e+06	3.03992e+06
A6NED2	A6NED2;G3V2I3	RCCD1_HUMAN	RCCD1		715727	935272	834562	1.08181e+06	811920	791332
A6NEM2	A6NEM2	A6NEM2_HUMAN	HCFC1		1.29448e+06	1.73705e+06	1.72306e+06	1.46799e+06	1.65742e+06	1.96392e+06
A6NER3	O76087;P0CL82;Q13069;A1L429;A6NDE8;A6NER3;P0CL80;P0CL81;P0DSO3;P0DTW1;Q13070;Q4V321;Q4V326	GG12J_HUMAN	GAGE12J		2.86622e+07		3.52306e+07	9.80082e+06	2.52028e+07	3.35029e+07
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316		43084.7	142512				96183.9
A6NFQ2	A6NFQ2;A0A1B0GVM2;Q8N1I1	TCAF2_HUMAN	TCAF2			751038	489405	643730	482041	
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3		1.0816e+07		1.56771e+07	7.13652e+06	1.27024e+07	1.29476e+07
A6NHL2;P09733;P09734	A6NHL2;P09733;P09734	TBA1_YEAST;TBA3_YEAST;TBAL3_HUMAN	TUB1;TUB3;TUBAL3		1.41622e+07	7.82166e+06	1.39459e+07	8.17094e+06	7.43807e+06	1.62557e+07
A6NHL2;P09733;P09734;P68366;Q9NY65	A6NHL2;P0DPH7;P0DPH8;P68363;P68366;Q6PEY2;Q71U36;Q9BQE3;Q9NY65;C9J2C0;F5H5D3;A0A7P0T945;V9GZ17;P09733;P09734	TBA1_YEAST;TBA3_YEAST;TBA4A_HUMAN;TBA8_HUMAN;TBAL3_HUMAN	TUB1;TUB3;TUBA4A;TUBA8;TUBAL3		6.43521e+07	840216	9.79395e+07	2.21882e+07	6.82407e+07	6.50405e+07
A6NHR9	A6NHR9;A0A8I5KRS9;J3KTL8;J3QSH1	SMHD1_HUMAN	SMCHD1		4.20264e+06	4.55908e+06	4.21912e+06	3.92522e+06	4.36399e+06	4.54265e+06
A6NHT5	A6NHT5	HMX3_HUMAN	HMX3						160611	219733
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2							
A6NI56	A6NI56;A0A590PWR5;B7ZBA8;H3BS06	CC154_HUMAN	CCDC154			8.93318e+06				
A6NIH7	A6NIH7;Q13432;C9JSK0;K7EJU3;K7EN86	U119B_HUMAN	UNC119B			914765				1.03954e+06
A6NJ78	A6NJ78	MET15_HUMAN	METTL15		279987	355115	455196	102257	474364	406145
A6NK59	A6NK59	ASB14_HUMAN	ASB14							
A6NKD9	A6NKD9;G3V4C8;H0YJE0;H0YJY5	CC85C_HUMAN	CCDC85C		140352	108143	71986.4		164296	169762
A6NKF1	A6NKF1;A0A6I8PRW4;F8WC89;H9KVA8	SAC31_HUMAN	SAC3D1		450429		403058			
A6NP11;Q96LW1	O14628;P59923;Q15928;Q7L2R6;Q96JL9;Q9HBT8;O60765;O75346;P17035;P17039;Q03936;Q5FWF6;Q86YE8;Q8IW36;Q8IYX0;Q8N859;Q8WV37;Q96JC4;Q96SE7;Q9NV72;Q9P2J8;Q9Y2Q1;A2RRD8;A6NN14;A6NP11;P0CB33;Q03938;Q08AN1;Q3MIS6;Q3SXZ3;Q5HY98;Q5JVG8;Q5VIY5;Q6ZN06;Q6ZN08;Q76KX8;Q86XN6;Q86XU0;Q8IYB9;Q8N782;Q8N9Z0;Q8NB42;Q8TB69;Q96H40;Q96LW1;Q9H7R5;A0A1W2PQL4;A8MT65;B4DXR9;F8WEZ9;P0CJ79;P0DPD5;Q96IR2;A0A075B7G4;A0A087WT67;A0A087WTY0;A0A087WXU7;A0A087X0J9;A0A0A0MRD3;A0A0A0MRV5;A0A0B4J2B2;A0A0G2JMG9;A0A0G2JQ71;A0A1W2PQE6;A0A2R8Y4V3;A0A494C0E0;A0A494C1D2;A0A494C1V2;A0A669KBJ2;A0A8I5JYA4;A0A8I5KS80;A0A8I5KWC3;A0A8J9BZE6;A0A994J813;A8MTT8;B4E159;C9J3R7;C9J487;C9J5H1;C9JG37;C9JUE3;C9K0H2;D6RB60;D6RGC2;D6RIY0;E5RGC2;E5RGH0;E5RH89;E5RHT5;E7ENB8;E7EU70;E7EUL5;E7EVQ0;E9PIN4;E9PIT0;E9PIY8;E9PLF5;E9PLW9;E9PMX5;E9PN20;E9PNM0;E9PPF8;E9PSE6;F2Z2N8;F2Z3A3;F5H490;F6W2C3;F8WAL3;F8WBQ5;F8WDJ7;F8WEN0;G3XAE0;I3L0E3;I3L137;J3KQN0;J3KRF9;J3KSJ1;J3KSW0;J3QKY7;K7EIG2;K7EIP5;K7EJG2;K7EL03;K7ELI5;K7EM14;K7ENQ3;K7ENW2;K7ENX6;K7EQQ2;K7ERD9;K7ERG6;K7ERS7;K7ES26;L0R8M2;M0QX59;M0QX96;M0QXQ0;M0QXU3;M0QXX9;M0QXZ2;M0QXZ4;M0QY27;M0QYA4;M0QYA6;M0QYE7;M0QYM6;M0QYU5;M0QYV6;M0QZ38;M0QZA2;M0QZA4;M0QZA6;M0QZG9;M0R079;M0R085;M0R099;M0R0C0;M0R0C2;M0R0D9;M0R0I7;M0R0P3;M0R0R1;M0R1K6;M0R1N1;M0R1T0;M0R1V2;M0R297;M0R2I1;M0R2L4;M0R2P3;M0R2R1;M0R327;M0R367;M0R3A5;Q0P6G1;Q1T7F5;Q1T7F6;Q6IQ01;V9GYJ2	Z354B_HUMAN;ZN716_HUMAN	ZNF354B;ZNF716							1.12007e+06
A6ZKI3;Q9BWD3	A6ZKI3;Q9BWD3	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C		380190	391701	406772			481735
A8CG34	A8CG34	P121C_HUMAN	POM121C			538304	419290		433008	424268
A8CG34;Q96HA1	A8CG34;Q96HA1;A6NF01	P121A_HUMAN;P121C_HUMAN	POM121;POM121C		831382	1.10329e+06	938259	740079	955440	993213
A8MPP1;Q92771;Q96FC9	Q96FC9;A8MPP1;Q92771;B4DMS8;C9K0E8;F5GXJ8;F5GXL6;F5GYY1;F5H235;F6WZM0	D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	DDX11;DDX11L8;DDX12P							
A8MPS7	A8MPS7	YDJC_HUMAN	YDJC		808828	958612	1.73795e+06	294733	1.46201e+06	1.45003e+06
A8MT69	A8MT69;J3QR01	CENPX_HUMAN	CENPX			893345	1.29311e+06			
A8MW92	A8MW92;A0A0A0MQS0;A8MUE8;A8MXR8;E9PM57;F8W9L8;A0A0D9SG14	P20L1_HUMAN	PHF20L1				277780		189694	292313
A8MWD9;P62308	P62308;A8MWD9;C9JVQ0;F5H013;Q49AN9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15		6.10929e+07	1.05142e+07	6.48673e+07	4.33006e+07	6.55575e+07	5.96145e+07
A8MXT2;O60732;P43355	P43355;P43358;P43361;Q96M61;P43363;O60732;A2A368;A8MXT2;O15480;A0A0A0MSA3;Q3SYA6	MAGA1_HUMAN;MAGBH_HUMAN;MAGC1_HUMAN	MAGEA1;MAGEB17;MAGEC1		2.1828e+06		2.74566e+06	665143	1.71803e+06	2.10242e+06
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19		1.01326e+06	1.33564e+06	831321	1.00514e+06	910055	1.49322e+06
A9UHW6	A9UHW6;J3QLD1;J3QLJ5;J3QRZ6;A0A3B3IU65;J3KSB8;J3KSU6;J3QKW3;J3QLN4	MI4GD_HUMAN	MIF4GD							
ADD000	ADD000	iRTKit			1.91913e+09	1.62052e+09	1.75567e+09	1.88173e+09	1.92919e+09	1.65284e+09
B2RUZ4	B2RUZ4;A0A2R8Y7R4;H3BS66	SMIM1_HUMAN	SMIM1		1.16325e+06	1.03539e+06	1.24555e+06	836727	1.23655e+06	1.07951e+06
B3KQ25;K7EKR3;K7EMD0;K7EPX6	B3KQ25;K7EKR3;K7EMD0;K7EPX6	B3KQ25_HUMAN;K7EKR3_HUMAN;K7EMD0_HUMAN;K7EPX6_HUMAN	PSME3			2.04498e+06			598888	371705
B4DLJ1	B4DLJ1	B4DLJ1_HUMAN	USF2		1.73897e+06	1.74502e+06	1.95832e+06	1.83499e+06	1.85322e+06	2.06769e+06
B4DXR9;Q15928;Q3SXZ3;Q8IYB9;Q8TB69	Q15928;Q3SXZ3;Q8IYB9;Q8TB69;B4DXR9;A0A075B7G4;A0A087WTY0;A0A2R8Y4V3;B4E159;D6RB60;D6RGC2;D6RIY0;E5RGH0;E9PN20;K7EJG2;K7ERG6	ZN141_HUMAN;ZN519_HUMAN;ZN595_HUMAN;ZN718_HUMAN;ZN732_HUMAN	ZNF141;ZNF519;ZNF595;ZNF718;ZNF732		1.55302e+06		2.17562e+06			1.25428e+06
B4DY08;G3V251;G3V2D6;G3V3K6;G3V4C1;G3V4W0;G3V5X6	B4DY08;G3V251;G3V2D6;G3V3K6;G3V4C1;G3V4W0;G3V5X6	B4DY08_HUMAN;G3V251_HUMAN;G3V2D6_HUMAN;G3V3K6_HUMAN;G3V4C1_HUMAN;G3V4W0_HUMAN;G3V5X6_HUMAN	HNRNPC		2.42647e+06		3.43849e+06	945086	2.61287e+06	1.82895e+06
B7Z9C2;F8VRJ2;F8VV59;F8W118	B7Z9C2;F8VRJ2;F8VV59;F8W118	B7Z9C2_HUMAN;F8VRJ2_HUMAN;F8VV59_HUMAN;F8W118_HUMAN	NAP1L1		359990		970267		656163	782532
B7ZW38;O60812;P0DMR1	O60812;B7ZW38;P0DMR1;A0A0G2JPF8	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4		2.1608e+06		1.45706e+06	3.63262e+06	2.64787e+06	1.25951e+06
B8ZZC5	B8ZZC5	B8ZZC5_HUMAN	GLS		3.67646e+06	4.28883e+06	3.86922e+06	2.61461e+06	3.70959e+06	4.16248e+06
B9A064	B9A064;A0A0B4J231	IGLL5_HUMAN	IGLL5		1.01164e+06	988330	969240		989124	1.00423e+06
C9J276;C9J4L5;E7EWP8;H7C3I0	C9J276;C9J4L5;E7EWP8;H7C3I0	C9J276_HUMAN;C9J4L5_HUMAN;E7EWP8_HUMAN;H7C3I0_HUMAN	CREB1			282679				
C9J6P4;H7C5K1	C9J6P4;H7C5K1	C9J6P4_HUMAN;H7C5K1_HUMAN	ZC3HAV1		76519.1		170310		105640	187486
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1		140616	207846	169180		207507	236732
C9JLW8	C9JLW8;I3L2L5;I3L317;I3L3A7;I3L4Q0	MCRI1_HUMAN	MCRIP1		1.81326e+06	1.16306e+06	1.61555e+06	1.47678e+06	1.60834e+06	1.59036e+06
C9JW01	C9JW01	C9JW01_HUMAN	PUM2						264323	
C9JYA1	C9JYA1	C9JYA1_HUMAN	NUP42					249929		
D3YTI2	D3YTI2	D3YTI2_HUMAN	ACP1				275401			
D6R9B6	D6R9B6	D6R9B6_HUMAN	RPS3A						98988	385694
D6R9P3;D6RBZ0;D6RD18	D6R9P3;D6RBZ0;D6RD18	D6R9P3_HUMAN;D6RBZ0_HUMAN;D6RD18_HUMAN	HNRNPAB		9.56372e+07	7.99089e+07	9.14878e+07	1.02006e+08	9.68727e+07	8.36887e+07
D6RAG0	P52435;Q9GZM3;Q9H1A7;A0A0B4J2F8;A6NFM0;E2QRJ6;A0A0B4J1Z8;D6RAG0;E7EP90;E7EWC6;H0Y980	D6RAG0_HUMAN	POLR2J3		256219	457596	276147		184651	278666
D6RDH5	D6RDH5	D6RDH5_HUMAN	GNGT2		1.13828e+06		571219	2.9842e+06	1.79297e+06	1.16981e+06
D6RHH4	D6RHH4	D6RHH4_HUMAN	RACK1		1.15193e+06	1.25352e+06	1.1001e+06	1.2523e+06	1.31729e+06	1.44222e+06
D6VTK4	D6VTK4	STE2_YEAST	STE2		790951					570012
E5RHC1	E5RHC1	E5RHC1_HUMAN	PPP2CB		538009	445158	622438	408187	501386	435746
E5RK27	E5RK27	E5RK27_HUMAN	VDAC3		825726	906957	957822	836186	1.07222e+06	1.14099e+06
E7EPN9;H7C5N8	E7EPN9;H7C5N8	E7EPN9_HUMAN;H7C5N8_HUMAN	PRRC2C							
E7ERS3	E7ERS3	E7ERS3_HUMAN	ZC3H18							904880
E7EUU4	E7EUU4;E7EX73;E9PGM1;C9J2Z7;C9K073	E7EUU4_HUMAN	EIF4G1		2.09975e+06	2.33492e+06	2.09186e+06	2.51327e+06	1.98251e+06	2.43917e+06
E9PAP1	E9PAP1	E9PAP1_HUMAN	SETDB1							
E9PAV3;Q13765	Q13765;E9PAV3;A0A7I2V2K5;A0A7I2V473;F8VNW4;F8VZJ2;F8W0W4;H0YHX9	NACAM_HUMAN;NACA_HUMAN	NACA		5.39948e+07	5.37901e+07	5.78741e+07	5.54457e+07	5.82712e+07	5.34876e+07
E9PCW1	B4DQA8;E9PCW1	E9PCW1_HUMAN	GOSR1			569633	462681		596784	515021
E9PDP5;H3BLS9	E9PDP5;H3BLS9	E9PDP5_HUMAN;H3BLS9_HUMAN	ANKHD1		1.0052e+06	970738	984852	446968		535351
E9PEW8	E9PEW8	E9PEW8_HUMAN	HBD			395517				610310
E9PIE4	E9PIE4	E9PIE4_HUMAN	MTCH2		634267			372372	688768	419134
E9PK06	E9PK06	E9PK06_HUMAN	EEF1D			673405	546149	362632	627027	585418
E9PK54	E9PK54	E9PK54_HUMAN	HSPA8		2.38904e+07	2.00498e+07	2.30987e+07	1.64967e+07	1.92143e+07	2.80455e+07
E9PKU7;E9PNH1	E9PKU7;E9PNH1	E9PKU7_HUMAN;E9PNH1_HUMAN	GANAB				550693		180087	328556
E9PL71;E9PN91	E9PL71;E9PN91	E9PL71_HUMAN;E9PN91_HUMAN	EEF1D		1.42962e+06	1.96531e+06	2.82986e+06	1.91438e+06	2.36403e+06	2.1278e+06
E9PLP0	E9PLP0	E9PLP0_HUMAN	CARS1		1.28905e+06	1.0836e+06	1.39241e+06	1.71206e+06	1.4344e+06	1.36356e+06
E9PLY5	E9PLY5	E9PLY5_HUMAN	MACF1		426622		723460	367621	703108	664452
E9PMV1;H0YDN1	H0YDN1;E9PMV1	E9PMV1_HUMAN;H0YDN1_HUMAN	PLEC						180793	195777
E9PN89	E9PN89	E9PN89_HUMAN	HSPA8		2.32202e+06		2.6703e+06	1.3008e+06	2.4483e+06	2.22164e+06
E9PNW5	E9PNW5	E9PNW5_HUMAN	C4orf50							
E9PQT8	E9PQT8	E9PQT8_HUMAN	PHF1							
E9PRG8	A0A494BXY3;E9PLD3;E9PRG8	CK098_HUMAN	C11orf98		1.38239e+07	1.25638e+07	1.21801e+07	1.48824e+07	1.1878e+07	1.21975e+07
F2Z2Q7	F2Z2Q7	F2Z2Q7_HUMAN	AKNAD1							
F5GZG1	F5GZG1	F5GZG1_HUMAN	RAP1B		3.54702e+06		1.06358e+07	1.53005e+06	7.65034e+06	7.10908e+06
F5H345	F5H345	F5H345_HUMAN	HMBS							
F8VRH0	F8VRH0	F8VRH0_HUMAN	PCBP2			111392			203966	
F8VXU5	F8VXU5	F8VXU5_HUMAN	VPS29		3.29468e+06	4.37422e+06	3.11522e+06	3.67114e+06	3.34457e+06	4.03894e+06
F8W0Q9	F8W0Q9	F8W0Q9_HUMAN	PPHLN1							
F8W1D0	F8W1D0	F8W1D0_HUMAN	TWF1			7.84093e+06	4.5271e+06	5.83177e+06	3.65793e+06	
F8W7C6	F8W7C6	F8W7C6_HUMAN	RPL10		2.45695e+06		3.45066e+06	1.46199e+06	3.20998e+06	2.31715e+06
F8W9S7	F8W9S7	F8W9S7_HUMAN	GAPVD1				297786		105219	169127
F8WDI0	F8WDI0	F8WDI0_HUMAN	ATG3							
G2XKQ0;P63165	G2XKQ0;P63165;B8ZZJ0;B8ZZN6;B9A032	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1		1.04436e+07	9.45024e+06	9.60671e+06	1.01931e+07	1.02546e+07	9.44668e+06
G3V119	G3V119	G3V119_HUMAN	CCAR2							
G3V3H3;G3V5R9	G3V3H3;G3V5R9	G3V3H3_HUMAN;G3V5R9_HUMAN	KLC1		51387	200163	156210		217120	189308
G3V3T3	G3V3T3	G3V3T3_HUMAN	ACIN1							
G3XAH0	G3XAH0	G3XAH0_HUMAN	SEPTIN5		2.10215e+06	1.42429e+06	1.73847e+06	2.39405e+06	1.73452e+06	2.29356e+06
G5EA09	G5EA09	G5EA09_HUMAN	SDCBP		269274	405959	278198	292272	384684	378985
G5EA36;I3L328	G5EA36;I3L328	G5EA36_HUMAN;I3L328_HUMAN	CDC27				388365		303256	417105
H0Y3K2	H0Y3K2	H0Y3K2_HUMAN	UBR3			433102		383654		
H0Y400	H0Y400	H0Y400_HUMAN	DDX39B		1.79896e+06		1.90261e+06		1.52155e+06	1.32834e+06
H0Y4K0;H0Y636;Q5LJA5;Q5LJB0	Q5LJA5;Q5LJB0;H0Y4K0;H0Y636	H0Y4K0_HUMAN;H0Y636_HUMAN;Q5LJA5_HUMAN;Q5LJB0_HUMAN	UCHL5				322183			201082
H0Y5C6	H0Y5C6	H0Y5C6_HUMAN	FLNA				519220		622235	351608
H0Y7R8;H0Y8U8;J3KN01	H0Y7R8;J3KN01;H0Y8U8	H0Y7R8_HUMAN;H0Y8U8_HUMAN;J3KN01_HUMAN	AFDN		1.38744e+06	1.31686e+06	1.29273e+06	1.72758e+06	1.57475e+06	1.06472e+06
H0Y990	H0Y990	H0Y990_HUMAN	ABCE1		2.46698e+06	2.49905e+06	2.15552e+06	2.61493e+06		2.36881e+06
H0YBJ5	H0YBJ5	H0YBJ5_HUMAN	LARP1			476959				
H0YC97;H0YDK8;Q5T1Z4;Q5T1Z8	Q5T1Z4;Q5T1Z8;H0YC97;H0YDK8	H0YC97_HUMAN;H0YDK8_HUMAN;Q5T1Z4_HUMAN;Q5T1Z8_HUMAN	PUM1		1.12913e+06		1.48863e+06		1.01349e+06	1.31511e+06
H0YET9	H0YET9	H0YET9_HUMAN	ARRB1				365234		280064	381403
H0YFY6;K4DIE0	H0YFY6;K4DIE0	H0YFY6_HUMAN;K4DIE0_HUMAN	NUMA1		2.71319e+06	2.31442e+06	2.54665e+06	2.55572e+06	2.54868e+06	2.62164e+06
H0YI37	H0YI37	H0YI37_HUMAN	ATP5F1B		1.46873e+06		523604	738849		1.08118e+06
H0YJ03	H0YJ03	H0YJ03_HUMAN	PSMA3							673352
H0YLM8	H0YLM8	H0YLM8_HUMAN	DMXL2							
H3BPE1;H3BQK9	A0A0A6YYJ5;A0A590UJG2;H3BPE1;H3BQK9	H3BPE1_HUMAN;H3BQK9_HUMAN	MACF1		3.00666e+06	3.37454e+06	3.08352e+06	3.01676e+06	3.26311e+06	3.30576e+06
H3BSX1	H3BSX1	H3BSX1_HUMAN	SYT17							
H3BT57;H3BUJ5	H3BRN3;H3BT57;H3BUJ5	H3BT57_HUMAN;H3BUJ5_HUMAN	PML			284500	148838		231232	309148
H7BYY1	B7Z596;F5H7S3;H0YK48;H0YKJ4;H7BYY1;A0A494BZZ2;H0YN06	H7BYY1_HUMAN	TPM1		3.1622e+06	3.29975e+06	3.76011e+06	3.28262e+06	4.22043e+06	3.58873e+06
H7BZT1	H7BZT1	H7BZT1_HUMAN	SF1				1.59542e+06		961020	973126
H7C0K8	H7C0K8	H7C0K8_HUMAN	FUNDC2		726851	1.3424e+06	405902	624886	581218	704132
H7C0V5	H7C0V5	H7C0V5_HUMAN	ANKHD1-EIF4EBP3			171004				
H7C2J9;Q5VWC4	Q5VWC4;H7C2J9	H7C2J9_HUMAN;Q5VWC4_HUMAN	PSMD4		54826.5		99789.3	63296.2	97529.9	95402.1
H7C3M7	H7C3M7	H7C3M7_HUMAN	FARP2							
I3L0E3	Q9Y2R5;E9PE17;I3L0E3	I3L0E3_HUMAN	hCG_1984214		7.64495e+06	7.46662e+06	6.74238e+06	7.66102e+06	7.60275e+06	7.35882e+06
I3L0M3;I3L4Y2	I3L0M3;I3L4Y2	I3L0M3_HUMAN;I3L4Y2_HUMAN	MAZ			253253			417949	400433
I3L213	I3L213	I3L213_HUMAN	PHKB		1.03005e+06	1.17525e+06	1.06788e+06	1.11785e+06	1.26966e+06	1.20667e+06
I3L257;I3L2E1	I3L257;I3L2E1	I3L257_HUMAN;I3L2E1_HUMAN	CLUAP1		979881		1.11762e+06		944067	882035
J3KN66	J3KN66	J3KN66_HUMAN	TOR1AIP1							
J3KNZ9	J3KNZ9	J3KNZ9_HUMAN	FBRS		182308	304896	278713		315665	338933
J3KP58	J3KP58	J3KP58_HUMAN	CLIP1		405420	336836	458909	310144	429301	
J3KPV6	J3KPV6	J3KPV6_HUMAN	SCNN1A				1.80005e+06			
J3KTD8	J3KTD8	J3KTD8_HUMAN	CBFB		621463	948136	812660	214641	811469	703701
K7EJB5	K7EJB5	K7EJB5_HUMAN	SNRPD2				1.97387e+06		1.75685e+06	2.34668e+06
K7EL68	K7EL68	K7EL68_HUMAN	CDC37		273961	744736	680924		754674	594775
K7EMQ3	K7EMQ3	K7EMQ3_HUMAN	DNM2		1.6335e+06	1.27837e+06	1.52293e+06	1.48422e+06	1.47533e+06	1.50485e+06
K7ENH8	K7EMM4;K7ENH8	K7ENH8_HUMAN	TCF3							
K7ERV3	K7ERV3	K7ERV3_HUMAN	TK1			910985		1.21235e+06	1.0711e+06	
K7ESG0	K7ESG0	K7ESG0_HUMAN	RTBDN							2.85482e+06
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4		4.6523e+06	4.95253e+06	4.53239e+06	4.60574e+06	4.47196e+06	5.40487e+06
L0R819	L0R819;U3KQP1	ASURF_HUMAN	ASDURF		1.94394e+06	2.22679e+06	2.10837e+06	2.47252e+06	2.02344e+06	2.26849e+06
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1		1.64065e+06	1.4386e+06	1.22464e+06	1.37171e+06	1.75586e+06	1.92984e+06
M0QYM7	M0R042;M0QYM7	M0QYM7_HUMAN	TUBB4A			293630				501694
M0QZL9	M0QZL9	M0QZL9_HUMAN	LSR			207456	345795		231658	157407
M0QZM1	M0QZM1	M0QZM1_HUMAN	HNRNPM		5.60099e+06	5.38418e+06	5.98315e+06	5.08858e+06	6.3253e+06	5.39227e+06
M0R346	M0R346	M0R346_HUMAN	PRKD2		1.01818e+06	782554	973148	976863	804462	752964
O00115	O00115;A0A8V8TNK3;K7ENE5	DNS2A_HUMAN	DNASE2		1.8357e+06	2.00273e+06	2.13764e+06	1.95959e+06	2.12429e+06	1.93309e+06
O00116	O00116;A0A1B0GWA2;A0A2R8YEL0;A0A7P0T8Q7;A0A7P0T984;A0A7P0T9C9;A0A7P0TA54;A0A7P0TAL3;A0A7P0TAU9;B7Z3Q4	ADAS_HUMAN	AGPS		3.7256e+06	4.36107e+06	4.40279e+06	3.15895e+06	4.24733e+06	4.08558e+06
